Region,Country,ISO Code,Drug Group,Drug,Year,KG Equivalent
Africa,Algeria,DZA,Cannabis-type,Marijuana (herb),1970,141
Africa,Algeria,DZA,Cannabis-type,Hashish (resin),1970,140
Americas,Argentina,ARG,Cocaine-type,Coca leaf,1970,13482
Oceania,Australia,AUS,Opioids,Heroin,1970,1
Oceania,Australia,AUS,Opioids,Opium,1970,9
Oceania,Australia,AUS,Cannabis-type,Marijuana (herb),1970,109
Europe,Austria,AUT,Opioids,Opium,1970,1
Europe,Austria,AUT,Cannabis-type,Marijuana (herb),1970,28
Asia,Bahrain,BHR,Opioids,Opium,1970,3
Asia,Bahrain,BHR,Cannabis-type,Marijuana (herb),1970,96
Europe,Belgium,BEL,Cannabis-type,Marijuana (herb),1970,33
Africa,Botswana,BWA,Cannabis-type,Marijuana (herb),1970,29
Europe,Bulgaria,BGR,Cannabis-type,Marijuana (herb),1970,1375
Americas,Canada,CAN,Opioids,Heroin,1970,14
Americas,Canada,CAN,Cannabis-type,Marijuana (herb),1970,281
Americas,Canada,CAN,Cannabis-type,Hashish (resin),1970,73
Americas,Chile,CHL,Cocaine-type,"Cocaine (base, paste and salts)",1970,80
Americas,Chile,CHL,Cannabis-type,Marijuana (herb),1970,31
Africa,Cameroon,CMR,Cannabis-type,Marijuana (herb),1970,310
Europe,Czechoslovakia,CZE,Cannabis-type,Hashish (resin),1970,18
Europe,Denmark,DNK,Opioids,Opium,1970,3
Europe,Denmark,DNK,Cannabis-type,Marijuana (herb),1970,671
Africa,Egypt,EGY,Opioids,Opium,1970,3672
Africa,Egypt,EGY,Cannabis-type,Marijuana (herb),1970,11461
Europe,Sweden,SWE,Opioids,Heroin,1970,0.135329997
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1970,325
Europe,Sweden,SWE,ATS,Amphetamine,1970,3
Europe,Sweden,SWE,Opioids,Heroin,1971,NULL
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1971,237
Europe,Sweden,SWE,ATS,Amphetamine,1971,2
Europe,Sweden,SWE,ATS,Amphetamine,1971,0.300000012
Europe,Sweden,SWE,ATS,Amphetamine,1971,2.112297
Europe,Sweden,SWE,Opioids,Heroin,1972,NULL
Europe,Sweden,SWE,Cannabis-type,Hashish (resin),1972,234
Europe,Sweden,SWE,ATS,Amphetamine,1972,3
